Kp,Ki,Kd,IAE,Final Pitch,Max Overshoot
0.9,0.3,0.4,0.013834420276664825,0.101551939,0.175411541
0.5,0.1,0.4,0.013846793423676925,0.036667604,0.191467108
0.9,0.5,0.4,0.013913839935071939,0.146454402,0.183913872
0.1,0.0,0.4,0.014076904199116006,0.037611402,0.184594829
0.3,0.8,0.4,0.014093478055333121,0.146871075,0.179681404
0.4,0.0,0.2,0.01413994524916169,0.003692708,0.181261941
0.5,0.2,0.5,0.01453957968381484,0.244692432,0.244692432
0.4,0.1,0.4,0.014577378723523061,0.03705826,0.197335175
0.7,0.3,0.4,0.01459516205474661,0.038555877,0.197097635
0.1,0.2,0.4,0.014772228699382418,0.029809159,0.204931573
0.4,1.0,0.4,0.01482977549733386,0.044402781,0.18995725
0.5,1.0,0.4,0.015037024294931915,0.046062457,0.189285377
0.5,0.9,0.3,0.015164082255577539,0.038246007,0.222231033
0.7,1.0,0.4,0.015180563537691281,0.043032562,0.183981119
0.5,0.4,0.4,0.016027129180337198,0.052783397,0.163655341
0.6,0.2,0.5,0.016036754836162907,0.067528351,0.204482986
0.7,0.0,0.4,0.016151134016646366,0.030918043,0.170886264
0.2,0.4,0.4,0.01617329625989714,0.067156336,0.191585548
0.4,0.6,0.4,0.016219690848593447,0.333447486,0.333447486
0.1,0.1,0.4,0.01622574722292336,0.194733278,0.194733278
0.1,0.6,0.8,0.01627286472574583,0.035516086,0.539428398
0.9,0.4,0.4,0.016401233620399063,0.056049841,0.158115764
0.3,0.9,0.4,0.01640518040729654,0.032543853,0.170742096
0.0,0.8,0.4,0.01646641773951264,0.030051125,0.160140143
0.5,0.8,0.4,0.017121665748450653,0.069535155,0.163846259
0.1,0.4,0.2,0.017324472474428015,0.036068284,0.382422037
0.8,1.0,0.7,0.01733533162688946,0.016722287,0.154134435
0.6,0.8,0.3,0.017429641809788284,0.047009127,0.259234305
0.1,0.8,0.4,0.017487481896624666,0.303377237,0.303377237
0.4,0.3,0.4,0.01784129896519645,0.078160013,0.234804653
0.1,0.9,0.4,0.01786716343207279,0.078377173,0.225328075
0.3,0.7,0.4,0.01794352080746247,0.078841263,0.236147429
0.0,0.0,0.6,0.01805110501571136,0.081573491,0.081573491
0.9,0.4,0.5,0.018199046304009956,0.189208525,0.189208525
0.3,0.1,0.5,0.01833146463945327,0.071621287,0.226729455
0.6,0.4,0.9,0.018393987849622193,0.066615616,0.182901337
0.9,1.0,1.0,0.01871460697531911,0.137143559,0.274534293
0.3,0.7,0.5,0.01872014043560836,0.168712872,0.168712872
0.5,0.7,1.0,0.01875573198843556,0.067127962,0.190129693
0.5,0.2,0.4,0.018930511307601466,0.067881548,0.190040674
0.2,1.0,0.7,0.019006339787265413,0.153359549,0.204743697
0.7,0.0,0.6,0.019237728469388825,0.054993251,0.248606872
0.6,0.6,0.4,0.0193782324996294,0.000107575,0.436280153
0.3,0.2,1.0,0.019604990276595975,0.100046989,0.255317678
1.0,0.2,0.2,0.020348430885585734,0.063134226,0.405688584
0.7,0.7,0.8,0.020527122995209784,0.022218715,0.338318994
0.0,0.2,0.9,0.021018756724228527,0.052151612,0.243007509
0.7,0.0,0.8,0.021095855845602182,0.08056107,0.227134526
0.1,0.7,0.5,0.021107381958328453,0.078179234,0.144328069
0.8,0.5,0.4,0.021161914274680293,0.210908119,0.319239863
0.5,0.0,0.4,0.021467891673634384,0.054315959,0.181393715
0.8,0.7,0.1,0.021761082812618637,0.07542833,0.278592399
0.3,0.2,0.7,0.02178840021175271,0.073208887,0.180603927
0.2,0.0,0.8,0.021923503393618735,0.074196496,0.352631455
0.0,0.7,0.2,0.02193854421639798,0.049452983,0.261520724
